geneName,Pval,Pearson
SNRNP70,1.0826379383884304e-25,0.8626217440321603
SNW1,5.9628740133580446e-27,0.8727690376544465
SPEN,3.814778821171329e-21,0.8179545758160507
SPTBN1,1.2907486865237603e-21,0.8232484297999556
SRPK1,3.1203254996597006e-26,0.8670791433807905
SRPK2,3.685059799629974e-22,0.8291599764554088
SRRM1,4.9965103819056515e-26,0.8654108918525578
SRRT,4.9876508280773e-25,0.8569263041625452
SSB,4.881311124940744e-24,0.8479390533193352
STIM1,7.593781993802753e-21,0.8144997365909106
STX17,1.1630054215071758e-26,0.8705044316417445
STX7,1.459294470879686e-20,0.8111538755212714
SUGT1,8.70542740005383e-20,0.8016547222515623
TAGLN2,7.004922869608315e-21,0.8149085607814067
TBC1D10B,5.741475806787565e-22,0.8270941933388116
TBC1D5,3.9077980156070896e-25,0.857852914522289
TCF20,1.466004698533078e-23,0.8433878830765176
TCOF1,3.46412927990634e-24,0.8493286685977037
TFAP2C,4.4541565289496486e-21,0.8171832705740515
TFPT,2.9240444165785954e-22,0.8302267668178673
THOC5,3.426403637564073e-20,0.8066794096382033
THRAP3,2.2988836932827433e-25,0.8598454327332499
THUMPD1,6.354621596227872e-21,0.8154007012733564
TOP2B,2.3911375443586726e-22,0.8311486657755547
TOPORS,8.490218456765716e-27,0.8715765136169019
TPM3,2.043648065973658e-21,0.821024831235247
TRA2A,9.432313913306012e-25,0.8544754376078797
TRAF3IP1,7.585683379249954e-22,0.8257824092007158
TRIM25,2.3184185795114047e-24,0.8509382519992925
TRIM33,3.2136628270994922e-25,0.8585909115838498
TRIP12,4.377072208001568e-26,0.8658821669208234
TRMT1,2.3296958817008615e-23,0.8414265168025897
TSC2,1.1448672441172676e-20,0.8124046706712269
TTC28,1.2220025619807777e-23,0.8441514725321757
TXNL1,4.1969031481141715e-24,0.8485528790640876
UBAC1,1.599307515340413e-22,0.832975035881903
UBAP2L,1.8561903685674896e-27,0.8766238544901555
UBR4,1.0997874382496519e-23,0.8445915912592186
USP24,2.856506364885683e-24,0.8501040424148628
USP36,7.072077116005911e-22,0.8261136126190814
USP39,5.682413002870215e-20,0.8039714443126457
VCPIP1,2.3128183034124685e-21,0.820420795647232
VPS13D,1.4590853089075522e-21,0.8226582443879499
WAC,3.598928946703859e-24,0.8491746739063416
WDR13,5.9043061235595e-22,0.8269629874623085
WDR26,3.323164981447667e-26,0.866857274543261
WDR7,6.36664749565768e-25,0.8559926900328992
WIPI2,6.736186625881536e-20,0.8030512032429258
WRNIP1,4.1473925079537945e-21,0.8175389137830879
WTAP,3.58447367961524e-21,0.8182635141874055
YBX1,1.8209461840147412e-22,0.8323880769082254
ZC3H11A,2.9925191617357507e-25,0.8588589278294012
ZC3H13,8.894105705571527e-28,0.8789896056466501
ZC3H18,1.7657549270715513e-27,0.8767860200492849
ZC3HC1,4.402638800060386e-20,0.8053427128287882
ZDHHC5,4.6309602201038354e-21,0.8169889373812359
ZFR,6.856466307544711e-27,0.8722992098876677
ZFYVE26,3.721007939032899e-20,0.8062407502680529
ZHX1,1.230412689737644e-22,0.834154036956992
ZNF580,3.1572022354102084e-21,0.8188914077240902
ZNF638,2.6701661424512686e-22,0.8306436261232101
ZNF687,6.951150406617574e-25,0.8556551446018572
ZZZ3,2.0784099863931134e-24,0.8513730242357513
